id,code,name,user_type_id,chart_template_id/id,reconcile
account_51030106,51030106,ค่าจ้าง Outsource (พัฒนาบุคลากร-เดินทาง/อบรมใน ปท.),Expenses,nxpo_coa.chart,FALSE
account_51030107,51030107,ค่าอาหารเครื่องดื่ม(พัฒนาบุคลากร-เดินทาง/อบรมใน ปท.),Expenses,nxpo_coa.chart,FALSE
account_51030108,51030108,ค่าวิทยากร พิธีกร และล่าม(บุคคลภายนอก)(พัฒนาบุคลากร-เดินทาง/อบรมใน ปท.),Expenses,nxpo_coa.chart,FALSE
account_51030109,51030109,ค่าวัสดุที่ใช้จัดกิจกรรม(พัฒนาบุคลากร-เดินทาง/อบรมใน ปท.),Expenses,nxpo_coa.chart,FALSE
account_51030110,51030110,ค่าของที่ระลึก ของรางวัล (พัฒนาบุคลากร-เดินทาง/อบรมใน ปท.),Expenses,nxpo_coa.chart,FALSE
account_51030111,51030111,ค่าจัดการสถานที่ (พัฒนาบุคลากร-เดินทาง/อบรมใน ปท.),Expenses,nxpo_coa.chart,FALSE
account_51030190,51030190,ค่าใช้จ่ายอื่น(พัฒนาบุคลากร-เดินทาง/อบรมใน ปท.),Expenses,nxpo_coa.chart,FALSE
account_51030200,51030200,ค่าใช้จ่ายในการเดินทาง สัมมนาและฝึกอบรม ต่างประเทศ,Expenses,nxpo_coa.chart,FALSE
account_51030201,51030201,ตั๋วเครื่องบิน(พัฒนาบุคลากร-เดินทาง/อบรม ตปท.),Expenses,nxpo_coa.chart,FALSE
account_51030202,51030202,ค่าพาหนะอื่น ๆ(พัฒนาบุคลากร-เดินทาง/อบรม ตปท.),Expenses,nxpo_coa.chart,FALSE
account_51030203,51030203,ค่าเบี้ยเลี้ยง(พัฒนาบุคลากร-เดินทาง/อบรม ตปท.),Expenses,nxpo_coa.chart,FALSE
account_51030204,51030204,ค่าลงทะเบียน(พัฒนาบุคลากร-เดินทาง/อบรม ตปท.),Expenses,nxpo_coa.chart,FALSE
account_51030205,51030205,ค่าที่พัก(พัฒนาบุคลากร-เดินทาง/อบรม ตปท.),Expenses,nxpo_coa.chart,FALSE
account_51030206,51030206,ค่าพาหนะอื่นๆ ภายในประเทศ(พัฒนาบุคลากร-เดินทาง/อบรม ตปท.),Expenses,nxpo_coa.chart,FALSE
account_51030207,51030207,ค่าจ้าง Outsource (พัฒนาบุคลากร-เดินทาง/อบรม ตปท.),Expenses,nxpo_coa.chart,FALSE
account_51030210,51030210,ค่าของที่ระลึก ของรางวัล (พัฒนาบุคลากร-เดินทาง/อบรมใน ตปท.),Expenses,nxpo_coa.chart,FALSE
account_51030290,51030290,ค่าใช้จ่ายอื่น(พัฒนาบุคลากร-เดินทาง/อบรม ตปท.),Expenses,nxpo_coa.chart,FALSE
account_52000000,52000000,ค่าใช้จ่ายดำเนินงาน,Expenses,nxpo_coa.chart,FALSE
account_52100000,52100000,ค่าตอบแทน,Expenses,nxpo_coa.chart,FALSE
account_52100101,52100101,ค่าเบี้ยประชุม,Expenses,nxpo_coa.chart,FALSE
account_52100201,52100201,ค่าตอบแทนผู้ปฏิบัติงานให้สำนักงาน,Expenses,nxpo_coa.chart,FALSE
account_52100901,52100901,ค่าตอบแทนอื่น,Expenses,nxpo_coa.chart,FALSE
account_52200000,52200000,ค่าใช้สอย,Expenses,nxpo_coa.chart,FALSE
account_52201000,52201000,ค่าจัดฝึกอบรมและสัมมนาในประเทศ,Expenses,nxpo_coa.chart,FALSE
account_52201001,52201001,ค่าวิทยากร พิธีกร และล่าม(บุคคลภายนอก)(จัดอบรมสัมมนาใน ปท.),Expenses,nxpo_coa.chart,FALSE
account_52201002,52201002,ค่าวิทยากร พิธีกร และล่าม(บุคคลภายใน)(จัดอบรมสัมมนาใน ปท.),Expenses,nxpo_coa.chart,FALSE
